tick,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure_pa,temperature_c,latitude,longitude,gps_altitude,unix_time,milliseconds,satellites,baro_altitude,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_w,quat_x,quat_y,quat_z,p_diag_0,p_diag_1,p_diag_2,p_diag_3,p_diag_4,p_diag_5,p_diag_6,p_diag_7,p_diag_8,flags,battery_v,state,relay,last_command
5012,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874657154083252,1,0,3
5022,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874657154083252,1,0,3
5032,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874657154083252,1,0,3
5042,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874657154083252,1,0,3
5052,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874657154083252,1,0,3
5062,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874657154083252,1,0,3
5072,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874657154083252,1,0,3
5082,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874657154083252,1,0,3
5092,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874657154083252,1,0,3
5102,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874657154083252,1,0,3
5112,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874657154083252,1,0,3
5122,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855000138282776,1,0,3
5132,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855000138282776,1,0,3
